iso2c,iso3c,country,date,GB.XPD.RSDV.GD.ZS,unit,obs_status,footnote,last_updated
AR,ARG,Argentina,2015,0.62262,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2016,0.55815,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2017,0.55631,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2018,0.4883,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2019,0.47813,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2020,0.54126,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2021,0.52216,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2022,0.54947,NA,NA,NA,2025-12-19
AR,ARG,Argentina,2023,NA,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2015,1.37093,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2016,1.28637,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2017,1.1175,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2018,1.16769,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2019,1.21096,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2020,1.14526,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2021,NA,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2022,NA,NA,NA,NA,2025-12-19
BR,BRA,Brazil,2023,NA,NA,NA,NA,2025-12-19
CL,CHL,Chile,2015,0.38296,NA,NA,NA,2025-12-19
CL,CHL,Chile,2016,0.37103,NA,NA,NA,2025-12-19
CL,CHL,Chile,2017,0.35679,NA,NA,NA,2025-12-19
CL,CHL,Chile,2018,0.36916,NA,NA,NA,2025-12-19
CL,CHL,Chile,2019,0.34243,NA,NA,NA,2025-12-19
CL,CHL,Chile,2020,0.33525,NA,NA,NA,2025-12-19
CL,CHL,Chile,2021,0.36041,NA,NA,NA,2025-12-19
CL,CHL,Chile,2022,NA,NA,NA,NA,2025-12-19
CL,CHL,Chile,2023,NA,NA,NA,NA,2025-12-19
CO,COL,Colombia,2015,0.36542,NA,NA,NA,2025-12-19
CO,COL,Colombia,2016,0.27051,NA,NA,NA,2025-12-19
CO,COL,Colombia,2017,0.26109,NA,NA,NA,2025-12-19
CO,COL,Colombia,2018,0.31233,NA,NA,NA,2025-12-19
CO,COL,Colombia,2019,0.32201,NA,NA,NA,2025-12-19
CO,COL,Colombia,2020,0.2894,NA,NA,NA,2025-12-19
CO,COL,Colombia,2021,NA,NA,NA,NA,2025-12-19
CO,COL,Colombia,2022,NA,NA,NA,NA,2025-12-19
CO,COL,Colombia,2023,NA,NA,NA,NA,2025-12-19
PE,PER,Peru,2015,0.11702,NA,NA,NA,2025-12-19
PE,PER,Peru,2016,0.12008,NA,NA,NA,2025-12-19
PE,PER,Peru,2017,0.12085,NA,NA,NA,2025-12-19
PE,PER,Peru,2018,0.12683,NA,NA,NA,2025-12-19
PE,PER,Peru,2019,0.15696,NA,NA,NA,2025-12-19
PE,PER,Peru,2020,0.17229,NA,NA,NA,2025-12-19
PE,PER,Peru,2021,0.13752,NA,NA,NA,2025-12-19
PE,PER,Peru,2022,0.16178,NA,NA,NA,2025-12-19
PE,PER,Peru,2023,NA,NA,NA,NA,2025-12-19
